# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  107       3.846196166676e-10       1.154738633895e-13      -3.659766687884e-12       0.000000000000e+00       9.041712916800e-12       1.326490270602e-12      -6.722621853568e-15 
  108       3.888708377422e-10       1.172316399726e-13      -3.745901108512e-12       0.000000000000e+00       8.819741670073e-12       1.300568776339e-12      -6.638157265155e-15 
  109       3.931442984185e-10       1.189551447186e-13      -3.831534138257e-12       0.000000000000e+00       8.604958374918e-12       1.275406859477e-12      -6.574118051341e-15 
  110       3.974394278091e-10       1.206426801585e-13      -3.916601284900e-12       0.000000000000e+00       8.397185025100e-12       1.250984137152e-12      -6.527198361997e-15 
  111       4.017555287922e-10       1.222925585776e-13      -4.001038087328e-12       0.000000000000e+00       8.196184799826e-12       1.227273392928e-12      -6.493778510167e-15 
  112       4.060917737149e-10       1.239031031239e-13      -4.084780156617e-12       0.000000000000e+00       8.001660285929e-12       1.204240368602e-12      -6.469917294057e-15 
  113       4.104472000967e-10       1.254726489165e-13      -4.167763217109e-12       0.000000000000e+00       7.813251700051e-12       1.181843556001e-12      -6.451344319027e-15 
  114       4.148207063324e-10       1.269995441535e-13      -4.249923147497e-12       0.000000000000e+00       7.630535110831e-12       1.160033988793e-12      -6.433452319587e-15 
  115       4.192110473961e-10       1.284821512206e-13      -4.331196021900e-12       0.000000000000e+00       7.453020661087e-12       1.138755034282e-12      -6.411289481385e-15 
  116       4.236170063778e-10       1.299188769088e-13      -4.411516691074e-12       0.000000000000e+00       7.280259970868e-12       1.117955252537e-12      -6.380570930094e-15 
  117       4.280379419432e-10       1.313082648665e-13      -4.490814242508e-12       0.000000000000e+00       7.112186961670e-12       1.097629192530e-12      -6.340869128821e-15 
  118       4.324732996764e-10       1.326489165214e-13      -4.569016062932e-12       0.000000000000e+00       6.948815324425e-12       1.077781188162e-12      -6.292798760269e-15 
  119       4.369224394888e-10       1.339394643271e-13      -4.646049276671e-12       0.000000000000e+00       6.790132242765e-12       1.058412643105e-12      -6.237033586163e-15 
  120       4.413846328777e-10       1.351785731293e-13      -4.721840773813e-12       0.000000000000e+00       6.636097580549e-12       1.039521938144e-12      -6.174307780446e-15 
  121       4.458590601836e-10       1.363649415310e-13      -4.796317238389e-12       0.000000000000e+00       6.486643069399e-12       1.021104338516e-12      -6.105417262471e-15 
  122       4.503448078487e-10       1.374973032585e-13      -4.869405176535e-12       0.000000000000e+00       6.341671496234e-12       1.003151901253e-12      -6.031221030195e-15 
  123       4.548408656746e-10       1.385744285266e-13      -4.941030944676e-12       0.000000000000e+00       6.201055890800e-12       9.856533825208e-13      -5.952642493376e-15 
  124       4.593461240804e-10       1.395951254045e-13      -5.011120777688e-12       0.000000000000e+00       6.064638713206e-12       9.685941449609e-13      -5.870670806762e-15 
  125       4.638593713605e-10       1.405582411815e-13      -5.079600817078e-12       0.000000000000e+00       5.932231041452e-12       9.519560650314e-13      -5.786362203289e-15 
  126       4.683792909430e-10       1.414626637326e-13      -5.146397139154e-12       0.000000000000e+00       5.803611758969e-12       9.357174403473e-13      -5.700841327275e-15 
  127       4.729044586469e-10       1.423073228838e-13      -5.211435783195e-12       0.000000000000e+00       5.678526742147e-12       9.198528970222e-13      -5.615302567610e-15 
  128       4.774333399409e-10       1.430911917785e-13      -5.274642779627e-12       0.000000000000e+00       5.556688047868e-12       9.043332970081e-13      -5.531011390954e-15 
  129       4.819644522661e-10       1.438133328495e-13      -5.335945515261e-12       0.000000000000e+00       5.437835803191e-12       8.891324384974e-13      -5.449060434542e-15 
  130       4.864968779625e-10       1.444730385406e-13      -5.395276938498e-12       0.000000000000e+00       5.321933276333e-12       8.742481849934e-13      -5.369604700811e-15 
  131       4.910298026914e-10       1.450697086754e-13      -5.452571870828e-12       0.000000000000e+00       5.208991769433e-12       8.596834898079e-13      -5.292544591593e-15 
  132       4.955623538685e-10       1.456028089016e-13      -5.507765748483e-12       0.000000000000e+00       5.099009474431e-12       8.454397671573e-13      -5.217763210238e-15 
  133       5.000935991030e-10       1.460718723766e-13      -5.560794660180e-12       0.000000000000e+00       4.991971109274e-12       8.315168481124e-13      -5.145125939956e-15 
  134       5.046225446369e-10       1.464765014517e-13      -5.611595384856e-12       0.000000000000e+00       4.887847554122e-12       8.179129365475e-13      -5.074480022159e-15 
  135       5.091481337837e-10       1.468163693573e-13      -5.660105429415e-12       0.000000000000e+00       4.786595487555e-12       8.046245650904e-13      -5.005654134807e-15 
  136       5.136692453682e-10       1.470912218873e-13      -5.706263066462e-12       0.000000000000e+00       4.688157022778e-12       7.916465510714e-13      -4.938457970748e-15 
  137       5.181846921649e-10       1.473008790846e-13      -5.750007372046e-12       0.000000000000e+00       4.592459343833e-12       7.789719524733e-13      -4.872681816064e-15 
  138       5.226932193376e-10       1.474452369253e-13      -5.791278263401e-12       0.000000000000e+00       4.499414341798e-12       7.665920238805e-13      -4.808096128412e-15 
  139       5.271935028783e-10       1.475242690039e-13      -5.830016536681e-12       0.000000000000e+00       4.408918250999e-12       7.544961724286e-13      -4.744451115370e-15 
  140       5.316841480465e-10       1.475380282179e-13      -5.866163904707e-12       0.000000000000e+00       4.320851285218e-12       7.426719137542e-13      -4.681476312776e-15 
  141       5.361636878080e-10       1.474866484528e-13      -5.899663034703e-12       0.000000000000e+00       4.235077273892e-12       7.311048279440e-13      -4.618880163077e-15 
  142       5.406305812744e-10       1.473703462670e-13      -5.930457586034e-12       0.000000000000e+00       4.151443298329e-12       7.197785154845e-13      -4.556349593667e-15 
  143       5.450832121420e-10       1.471894225764e-13      -5.958492247952e-12       0.000000000000e+00       4.069779327908e-12       7.086745532116e-13      -4.493549595233e-15 
  144       5.495200188089e-10       1.469442747109e-13      -5.983713120520e-12       0.000000000000e+00       3.989933870853e-12       6.977765005784e-13      -4.430192723163e-15 
  145       5.539399024795e-10       1.466354303665e-13      -6.006068820046e-12       0.000000000000e+00       3.911885655754e-12       6.870824565955e-13      -4.366256214318e-15 
  146       5.583418565136e-10       1.462635202187e-13      -6.025509554885e-12       0.000000000000e+00       3.835642320052e-12       6.765936628621e-13      -4.301785573162e-15 
  147       5.627248375646e-10       1.458292695806e-13      -6.041986831390e-12       0.000000000000e+00       3.761205228715e-12       6.663105438198e-13      -4.236826551115e-15 
  148       5.670877647751e-10       1.453335001476e-13      -6.055453493627e-12       0.000000000000e+00       3.688569317425e-12       6.562326859794e-13      -4.171425126747e-15 
  149       5.714295189727e-10       1.447771317411e-13      -6.065863763091e-12       0.000000000000e+00       3.617722935764e-12       6.463588171484e-13      -4.105627485985e-15 
  150       5.757489418665e-10       1.441611840538e-13      -6.073173278414e-12       0.000000000000e+00       3.548647690404e-12       6.366867856582e-13      -4.039480002306e-15 
  151       5.800448352419e-10       1.434867783935e-13      -6.077339135077e-12       0.000000000000e+00       3.481318288290e-12       6.272135395913e-13      -3.973029216942e-15 
  152       5.843159601578e-10       1.427551394280e-13      -6.078319925127e-12       0.000000000000e+00       3.415702379832e-12       6.179351060081e-13      -3.906321819077e-15 
  153       5.885610361413e-10       1.419675969291e-13      -6.076075776885e-12       0.000000000000e+00       3.351760402084e-12       6.088465701748e-13      -3.839404626048e-15 
  154       5.927787403843e-10       1.411255875175e-13      -6.070568394659e-12       0.000000000000e+00       3.289445421941e-12       5.999420547901e-13      -3.772324563547e-15 
  155       5.969677069394e-10       1.402306564067e-13      -6.061761098460e-12       0.000000000000e+00       3.228702979316e-12       5.912146992123e-13      -3.705128645816e-15 
  156       6.011265259153e-10       1.392844591481e-13      -6.049618863710e-12       0.000000000000e+00       3.169470930335e-12       5.826566386871e-13      -3.637863955852e-15 
  157       6.052537426730e-10       1.382887633748e-13      -6.034108360956e-12       0.000000000000e+00       3.111679290518e-12       5.742589835742e-13      -3.570577625603e-15 
  158       6.093478570219e-10       1.372454505465e-13      -6.015197995584e-12       0.000000000000e+00       3.055250077971e-12       5.660117985747e-13      -3.503316816173e-15 
  159       6.134073224153e-10       1.361565176936e-13      -5.992857947528e-12       0.000000000000e+00       3.000097156567e-12       5.579040819583e-13      -3.436128698014e-15 
  160       6.174305451465e-10       1.350240791620e-13      -5.967060210985e-12       0.000000000000e+00       2.946126079139e-12       5.499237447907e-13      -3.369060431136e-15 
  161       6.214159952602e-10       1.338503199600e-13      -5.937778515484e-12       0.000000000000e+00       2.893253439963e-12       5.420603493547e-13      -3.302157399509e-15 
  162       6.253625519981e-10       1.326373475024e-13      -5.904987997877e-12       0.000000000000e+00       2.841467184669e-12       5.343136401665e-13      -3.235457780414e-15 
  163       6.292691875072e-10       1.313873300284e-13      -5.868665577102e-12       0.000000000000e+00       2.790771358828e-12       5.266857311921e-13      -3.168997454773e-15 
  164       6.331348575844e-10       1.301025453297e-13      -5.828790109073e-12       0.000000000000e+00       2.741167011822e-12       5.191784064917e-13      -3.102811682131e-15 
  165       6.369585013859e-10       1.287853822724e-13      -5.785342425847e-12       0.000000000000e+00       2.692652129782e-12       5.117931121415e-13      -3.036935072826e-15 
  166       6.407390411376e-10       1.274383423182e-13      -5.738305374787e-12       0.000000000000e+00       2.645221568542e-12       5.045309481556e-13      -2.971401560155e-15 
  167       6.444753818444e-10       1.260640410465e-13      -5.687663857735e-12       0.000000000000e+00       2.598866986581e-12       4.973926604081e-13      -2.906244372542e-15 
  168       6.481664110004e-10       1.246652096764e-13      -5.633404870173e-12       0.000000000000e+00       2.553576777973e-12       4.903786325548e-13      -2.841496005709e-15 
  169       6.518109982988e-10       1.232446965881e-13      -5.575517540391e-12       0.000000000000e+00       2.509336005329e-12       4.834888779549e-13      -2.777188194839e-15 
  170       6.554079953418e-10       1.218054688446e-13      -5.513993168656e-12       0.000000000000e+00       2.466126332751e-12       4.767230315936e-13      -2.713351886746e-15 
  171       6.589562353504e-10       1.203506137139e-13      -5.448825266374e-12       0.000000000000e+00       2.423925958771e-12       4.700803420033e-13      -2.650017212043e-15 
  172       6.624545328740e-10       1.188833401906e-13      -5.380009595262e-12       0.000000000000e+00       2.382709549305e-12       4.635596631857e-13      -2.587213457312e-15 
  173       6.659016835009e-10       1.174069805174e-13      -5.307544206507e-12       0.000000000000e+00       2.342448170592e-12       4.571594465340e-13      -2.524969037265e-15 
  174       6.692964635677e-10       1.159249917072e-13      -5.231429479943e-12       0.000000000000e+00       2.303109222149e-12       4.508777327545e-13      -2.463311466920e-15 
  175       6.726376298692e-10       1.144409570647e-13      -5.151668163206e-12       0.000000000000e+00       2.264656369712e-12       4.447121437884e-13      -2.402267333764e-15 
  176       6.759239193688e-10       1.129585877083e-13      -5.068265410911e-12       0.000000000000e+00       2.227049478182e-12       4.386598747341e-13      -2.341862269920e-15 
